2014_actual,2015_estimate,2016_estimate,program_name,state
221560638,221675112,235958965,Grants to Local Educational Agencies,Alabama
38392312,37334758,40031698,Grants to Local Educational Agencies,Alaska
325175411,322822478,344397270,Grants to Local Educational Agencies,Arizona
158799897,154451057,162657167,Grants to Local Educational Agencies,Arkansas
1690050477,1684976704,1815799632,Grants to Local Educational Agencies,California
152451040,150085997,159322007,Grants to Local Educational Agencies,Colorado
115129185,115995941,123428295,Grants to Local Educational Agencies,Connecticut
44050652,44348749,47611381,Grants to Local Educational Agencies,Delaware
43233777,42820175,45859559,Grants to Local Educational Agencies,District of Columbia
778198725,775326168,843038080,Grants to Local Educational Agencies,Florida
508245512,499248477,532646237,Grants to Local Educational Agencies,Georgia
53190912,47044560,50343445,Grants to Local Educational Agencies,Hawaii
58184582,57304089,61073269,Grants to Local Educational Agencies,Idaho
647220569,663790614,716447478,Grants to Local Educational Agencies,Illinois
259897172,258435588,274635563,Grants to Local Educational Agencies,Indiana
84950639,91258673,97905324,Grants to Local Educational Agencies,Iowa
106096622,104127307,111399592,Grants to Local Educational Agencies,Kansas
221412725,211876032,223247485,Grants to Local Educational Agencies,Kentucky
292047621,284810742,303802794,Grants to Local Educational Agencies,Louisiana
51930687,50087264,53210738,Grants to Local Educational Agencies,Maine
197377380,195845381,211966157,Grants to Local Educational Agencies,Maryland
213106563,231735292,249527748,Grants to Local Educational Agencies,Massachusetts
521366989,498741578,516414376,Grants to Local Educational Agencies,Michigan
145084337,148648595,159642958,Grants to Local Educational Agencies,Minnesota
186696456,190653555,202072305,Grants to Local Educational Agencies,Mississippi
238153977,240817245,255937878,Grants to Local Educational Agencies,Missouri
44769249,45473035,48815253,Grants to Local Educational Agencies,Montana
70770085,68870531,73870309,Grants to Local Educational Agencies,Nebraska
115407680,116689383,125996323,Grants to Local Educational Agencies,Nevada
42970512,39727130,42394116,Grants to Local Educational Agencies,New Hampshire
306628577,330260053,356251144,Grants to Local Educational Agencies,New Jersey
110510722,116205395,125000623,Grants to Local Educational Agencies,New Mexico
1087886027,1104145846,1194905899,Grants to Local Educational Agencies,New York
413590999,416986656,448461582,Grants to Local Educational Agencies,North Carolina
33288114,33486225,36076520,Grants to Local Educational Agencies,North Dakota
567630894,558414182,591739500,Grants to Local Educational Agencies,Ohio
155173173,156253356,166986981,Grants to Local Educational Agencies,Oklahoma
147045243,140707533,149102541,Grants to Local Educational Agencies,Oregon
550781305,544018819,578145158,Grants to Local Educational Agencies,Pennsylvania
48517696,49334333,53019290,Grants to Local Educational Agencies,Rhode Island
214766778,225816091,243875859,Grants to Local Educational Agencies,South Carolina
42128642,43470458,46870397,Grants to Local Educational Agencies,South Dakota
276594473,283633464,305137875,Grants to Local Educational Agencies,Tennessee
1319972718,1320435127,1412561645,Grants to Local Educational Agencies,Texas
88522203,87185051,94510156,Grants to Local Educational Agencies,Utah
33563993,33196466,35732910,Grants to Local Educational Agencies,Vermont
233517198,243633830,261742449,Grants to Local Educational Agencies,Virginia
215415550,230296712,246472674,Grants to Local Educational Agencies,Washington
88296551,89209054,95608609,Grants to Local Educational Agencies,West Virginia
208551333,208521570,224466010,Grants to Local Educational Agencies,Wisconsin
34010211,33060071,35452433,Grants to Local Educational Agencies,Wyoming
10863937,10320740,11213378,Grants to Local Educational Agencies,American Samoa
16235363,15423595,16465668,Grants to Local Educational Agencies,Guam
6942204,6595094,6974103,Grants to Local Educational Agencies,Northern Mariana Islands
434695037,418467318,420186163,Grants to Local Educational Agencies,Puerto Rico
12125311,10912780,9821502,Grants to Local Educational Agencies,Virgin Islands
0,0,0,Grants to Local Educational Agencies,Freely Associated States
92641365,95805971,104583529,Grants to Local Educational Agencies,Indian set-aside
8984000,8984000,8984000,Grants to Local Educational Agencies,Other
7301584,7266620,7267212,School Improvement State Grants,Alabama
1466583,1440000,1435757,School Improvement State Grants,Alaska
10657909,10635860,10632253,School Improvement State Grants,Arizona
5317375,5082321,5072735,School Improvement State Grants,Arkansas
59958943,59416163,59226324,School Improvement State Grants,California
5261162,5057344,5049565,School Improvement State Grants,Colorado
3814598,3801191,3795141,School Improvement State Grants,Connecticut
1444023,1450462,1464603,School Improvement State Grants,Delaware
1392139,1394325,1403356,School Improvement State Grants,District of Columbia
26631259,26431778,26535299,School Improvement State Grants,Florida
16872595,16429658,16453780,School Improvement State Grants,Georgia
1811870,1550043,1558018,School Improvement State Grants,Hawaii
2045417,2000071,1985016,School Improvement State Grants,Idaho
21488158,21921931,21928610,School Improvement State Grants,Illinois
8712363,8562057,8541941,School Improvement State Grants,Indiana
2829268,3042851,3031218,School Improvement State Grants,Iowa
3870685,3765953,3737378,School Improvement State Grants,Kansas
7507800,7029354,7019302,School Improvement State Grants,Kentucky
9529181,9286674,9295105,School Improvement State Grants,Louisiana
1734687,1649227,1650184,School Improvement State Grants,Maine
6632348,6531048,6552947,School Improvement State Grants,Maryland
7148823,7745315,7727105,School Improvement State Grants,Massachusetts
16647156,15619916,15623887,School Improvement State Grants,Michigan
4817105,4956150,4942837,School Improvement State Grants,Minnesota
6012693,6128235,6137468,School Improvement State Grants,Mississippi
7758132,7902277,7880859,School Improvement State Grants,Missouri
1468904,1494296,1505066,School Improvement State Grants,Montana
2502937,2431389,2418306,School Improvement State Grants,Nebraska
3865237,3850572,3876031,School Improvement State Grants,Nevada
