state,Grants to Local Educational Agencies,School Improvement State Grants,State Agency Program Migrant Student Education,State Agency Program Neglected and Delinquent Children and Youth Education,Impact Aid Basic Support Payments,Impact Aid Payments for Children with Disabilities,Impact Aid Construction,Improving Teacher Quality State Grants,Mathematics and Science Partnerships,Education Technology,21st Century Community Learning Centers,State Assessments,Rural and Low Income Schools Program,Small Rural School Achievement Program,Indian Student Education Grants to Local Educational Agencies,English Language Acquisition,Homeless Children and Youth Education,Special Education -Grants to States,Special Education Preschool Grants,Grants for Infants and Families,Career and Technical Education State Grants,Federal Pell Grants,Federal Supplemental Educational Opportunity Grants,Federal Work Study,College Access Challenge Grants,Vocational Rehabilitation State Grants,Client Assistance State Grants,Protection and Advocacy of Individual Rights,Supported Employment State Grants,Independent Living Services for Older Blind Individuals,Adult Basic and Literacy Education State Grants,English Literacy and Civics Education State Grants,Federal Direct Student Loan Program
Alabama,221560638,7301584,2038436,685081,2309102,143121,0,36401472,2563301,0,17303700,6138062,4228358,5222,1530215,3970967,987126,179202438,5211985,6351597,19175065,523900000,11650538,16090331,1981804,59629565,155711.3495,224958.4109,349717,494757,8952819,247550,1735206103
Alaska,38392312,1466583,6894638,275300,123194815,2407394,2222810,10864222,744842,0,5631913,3511491,87093,200751,12382737,1188523,168641,36121184,1173323,2148926,4214921,42700000,962871,1027554,1392000,10340347,121770,171598,300000,225000,920400,108252,113713800
Arizona,325175411,10657909,6505750,1551651,140015095,4547983,2812819,35624312,3583105,0,25045386,7566409,905152,2157667,10437083,15178120,1422929,188142357,4887247,8947419,24934607,1423200000,23095744,14469461,2801747,64197308,211615.7844,305724.3466,475274,653398,10062766,1274865,5116622871
Arkansas,158799897,5317375,5217978,439326,254120,130548,0,22098087,1638892,0,11456864,4991978,3319337,1367209,259517,3218120,701739,110376945,5017177,3991961,11403795,280200000,4891648,7859751,1392000,47962381,121770,171598,300000,303579,5219057,184178,706406932.9
California,1690050477,59958943,128657713,1257682,51312233,3779348,778887,255264440,18410701,0,124944905,28691451,1333495,7136211,5690924,150816972,7623234,1205767987,35217658,53043814,122943598,3924900000,76559966,100307637,14746800,298623867,1228422.677,1774719.789,2758952,3350574,72121556,14717830,8352366365
Colorado,152451040,5261162,6964975,461386,24259890,1400531,622642,25581660,1823481,0,11325268,6478769,594943,1819941,650713,8609724,686387,154491341,4605630,6922597,15944320,494000000,10176489,13670871,1585014,40918495,167515.8733,242012.575,376229,472304,5712262,851061,1966155421
Connecticut,115129185,3814598,0,1229251,4487425,196394,0,21636294,973647,0,9115045,5287447,0,1044779,30132,6309210,516605,131267668,4587514,3931256,9466507,287100000,8884372,11033312,1392000,25807590,121770,171598,300000,376372,4340759,867146,997239633.7
Delaware,44050652,1444023,288932,558218,26336,16071,0,10864222,744842,0,5631913,3567360,0,21491,0,1464772,194161,34471598,1166850,2148926,4720975,63900000,1407618,1815722,1392000,13590347,121770,171598,300000,225000,1471029,149326,298573901.7
District of Columbia,43233777,1392139,0,169301,281121,13442,0,10864222,744842,0,5631913,3271687,0,0,0,881081,189585,17332422,217082,2148926,4214921,137300000,5517972,9363698,1392000,17568137,121770,171598,300000,225000,1072757,187457,1517408853
Florida,778198725,26631259,22494503,1498428,5178669,1453716,0,103321103,8510546,0,59746279,14361002,1915474,0,107396,43667337,3538297,634533737,17191016,22141390,61726876,2008600000,37842296,45314983,6789849,171216249,623797.2283,901208.7665,1401005,2247837,29788664,7432403,5874471849
